id;productnames;descriptions;startingbids;images;lister;created;category;patrimonio;idp;images2;images3
110;Notebook DELL Inspiron 15 5566;Fabricante: DELL | Modelo:   Inspiron 15 5566 | N° série: 18WJSL2 | Processador: intel i5-7200U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 520 | Observação: Carcaça trincada na tampa perto da dobradiça e do outro lado e na quina quebrada (buraco);450;https://laptopmedia.com/wp-content/uploads/2017/07/Dell-Inspiron-15-5566-1.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;78;18WJSL2;https://laptopmedia.com/wp-content/uploads/2017/07/Dell-Inspiron-15-5566-2.jpg;https://laptopmedia.com/wp-content/uploads/2017/07/Dell-Inspiron-15-5566-1-1.jpg
111;Notebook DELL Vostro 3583;Fabricante: DELL | Modelo:   Vostro 3583 | N° série: 1DSN813 | Processador: intel i5-8265U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 620 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;725;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_1_595eca628b5907f80c802c10d7d46d0e.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;79;1DSN813;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_3_08f797c54796fdc2b874c9ff2208210f.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_4_545ab38080c1b498fba795e39e13a2ff.jpg
112;Notebook DELL Inspiron 5458;Fabricante: DELL | Modelo:   Inspiron 5458 | N° série: JH38CD2 | Processador: intel i5-7200U | RAM: 8GB | HD: 1TB | SSD: NONE | Placa de vídeo: intel® UHD Graphics 620 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;725;https://images.tcdn.com.br/img/img_prod/458206/nb_dell_inspiron_5458_i3_5005u_2_0_500gb_8gb_14_w10home_preto_ol_17343_1_20191003145017.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;82;JH38CD2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5458_core_i5_5200u_memoria_4gb_hd_1tb_gravador_dvd_tela_14_lcd_sistema_window_2333_3_61003cb8aeb8a7265e44d0be535630a7.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5458_core_i5_5200u_memoria_4gb_hd_1tb_gravador_dvd_tela_14_lcd_sistema_window_2333_2_e51cb82ec54eb5d7b5e41277c17db5a3.jpg
113;Notebook DELL Vostro 3583;Fabricante: DELL | Modelo:   Vostro 3583 | N° série: 8919K03 | Processador: intel i5-8265U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 620 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;725;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_1_595eca628b5907f80c802c10d7d46d0e.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;83;8919K03;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_3_08f797c54796fdc2b874c9ff2208210f.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_4_545ab38080c1b498fba795e39e13a2ff.jpg
114;Notebook DELL Inspiron 5458;Fabricante: DELL | Modelo:   Inspiron 5458 | N° série: 1GQS0L2 | Processador: Intel i3-5005U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 5500 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;600;https://images.tcdn.com.br/img/img_prod/458206/nb_dell_inspiron_5458_i3_5005u_2_0_500gb_8gb_14_w10home_preto_ol_17343_1_20191003145017.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;84;1GQS0L2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5458_core_i5_5200u_memoria_4gb_hd_1tb_gravador_dvd_tela_14_lcd_sistema_window_2333_3_61003cb8aeb8a7265e44d0be535630a7.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5458_core_i5_5200u_memoria_4gb_hd_1tb_gravador_dvd_tela_14_lcd_sistema_window_2333_2_e51cb82ec54eb5d7b5e41277c17db5a3.jpg
115;Notebook DELL Inspiron 5570;Fabricante: DELL | Modelo:   Inspiron 5570 | N° série: JMKFSL2 | Processador: Intel i5-8250U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: AMD Radeon R7 M460 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;750;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_2_ce0cdaadf0bed2eed4e6bf28a6912927.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;85;JMKFSL2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_3_88417351f6f756a69a2335d9fcd0d1c7.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_4_dea3599dbf0990bb9760d5a59f484f62.jpg
116;Notebook DELL Vostro 3583;Fabricante: DELL | Modelo:   Vostro 3583 | N° série: 1DSR813 | Processador: intel i5-8265U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 620 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;725;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_1_595eca628b5907f80c802c10d7d46d0e.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;87;1DSR813;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_3_08f797c54796fdc2b874c9ff2208210f.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_4_545ab38080c1b498fba795e39e13a2ff.jpg
117;Notebook DELL Inspiron 5570;Fabricante: DELL | Modelo:   Inspiron 5570 | N° série: H7YKDQ2 | Processador: Intel i5-8250U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: AMD Radeon R7 M460 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;750;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_2_ce0cdaadf0bed2eed4e6bf28a6912927.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;88;H7YKDQ2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_3_88417351f6f756a69a2335d9fcd0d1c7.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_inspiron_5570_core_i7_8550u_memoria_8gb_hd_1tb_placa_video_amd530_4gb_tela_15_6_fhd_wi_2977_4_dea3599dbf0990bb9760d5a59f484f62.jpg
118;Notebook DELL Vostro 3583;Fabricante: DELL | Modelo:   Vostro 3583 | N° série: B52NSY2 | Processador: intel i5-8265U | RAM: 8GB | HD: NONE | SSD: 250GB | Placa de vídeo: intel® UHD Graphics 620 | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;725;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_1_595eca628b5907f80c802c10d7d46d0e.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;90;B52NSY2;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_3_08f797c54796fdc2b874c9ff2208210f.jpg;https://images.tcdn.com.br/img/img_prod/740836/notebook_dell_vostro_3583_core_i5_8265u_memoria_8gb_ddr4_ssd_256gb_tela_15_6_hd_sistema_windows_10_h_8253_4_545ab38080c1b498fba795e39e13a2ff.jpg
119;Notebook DELL Inspiron 14 5468;Fabricante: DELL | Modelo:   Inspiron 14 5468 | N° série: JH1PLG2 | Processador: Intel i3-6006U | RAM: 8GB | HD: NONE | SSD: 240GB | Placa de vídeo: Intel(R) Skylake Graphics | Observação: | Sistema Operacional: Microsoft Windows 10 Pro;625;https://d30u9wim1barf6.cloudfront.net/Custom/Content/Products/98/79/987957_notebook-dell-inspiron-14-5468-14-hd-i5-7200u-1tb-4gb-win10-h-pretonac003669_z1_637176981367673783.jpg;servicedesk;2023-06-06 11:00:00.425937;notebooks;91;JH1PLG2;https://d30u9wim1barf6.cloudfront.net/Custom/Content/Products/98/79/987957_notebook-dell-inspiron-14-5468-14-hd-i5-7200u-1tb-4gb-win10-h-pretonac003669_z2_637176981375598840.jpg;https://d30u9wim1barf6.cloudfront.net/Custom/Content/Products/98/79/987957_notebook-dell-inspiron-14-5468-14-hd-i5-7200u-1tb-4gb-win10-h-pretonac003669_z1_637176981366723846.jpg
